id,directors,rate,title,casts,year,types,country,lang,time,movieTime,commentLen,star
305,李安,9.2,饮食男女,"郎雄,杨贵媚,吴倩莲,王渝文,张艾嘉",1994,"剧情,家庭","中国台湾,美国","汉语普通话,闽南语,湖南话",1994-07-02,124,731373,"64.5%,30.4%,4.8%,0.3%,0.1%"
306,王家卫,8.8,重庆森林,"林青霞,金城武,梁朝伟,王菲,周嘉玲",1994,"剧情,爱情",中国香港,"粤语,汉语普通话,英语,印地语,日语",1994-07-14,102,930124,"51.3%,37.6%,9.9%,0.9%,0.3%"
307,"薛晓路,文晔",7.9,危险关系,"孙俪,吴慷仁,王戈,陈玺旭,陶慧",2026,剧情,中国大陆,汉语普通话,2026-03-31,32,87027,"30.2%,45.0%,18.8%,4.0%,2.0%"
308,李相玟,5.3,杀木池,"金惠奫,李钟圆,金准韩,金永声,吴东旻",2026,"惊悚,恐怖",韩国,韩语,2026-04-08,95,12247,"3.7%,10.2%,44.6%,32.5%,9.0%"
309,"申元浩,刘学灿",9.7,请回答1988,"成东日,李一花,罗美兰,金成畇,崔武成",2015,"剧情,喜剧,爱情",韩国,韩语,2015-11-06,94,1051797,"87.6%,10.0%,1.6%,0.3%,0.5%"
310,"安东尼·罗素,乔·罗素",8.1,复仇者联盟3：无限战争,"小罗伯特·唐尼,克里斯·埃文斯,克里斯·海姆斯沃斯,斯嘉丽·约翰逊,马克·鲁法洛",2018,"动作,科幻,奇幻,冒险",美国,英语,2018-05-11,149,824874,"33.3%,43.6%,19.9%,2.4%,0.9%"
311,凯尔西·曼,8.4,头脑特工队2,"艾米·波勒,玛雅·霍克,肯辛顿·托尔曼,莉萨·拉皮拉,托尼·海尔",2024,"剧情,喜剧,动画,奇幻,冒险",美国,英语,2024-06-21,96,376027,"38.7%,44.3%,15.7%,1.1%,0.2%"
312,"马克·奥斯本,约翰·斯蒂文森",8.3,功夫熊猫,"杰克·布莱克,达斯汀·霍夫曼,安吉丽娜·朱莉,伊恩·麦柯肖恩,成龙",2008,"喜剧,动作,动画,冒险",美国,英语,2008-06-20,92,646841,"32.4%,49.9%,16.5%,0.9%,0.2%"
313,詹姆斯·卡梅隆,7.8,阿凡达：水之道,"萨姆·沃辛顿,佐伊·索尔达娜,西格妮·韦弗,史蒂芬·朗,克利夫·柯蒂斯",2022,"动作,科幻,冒险",美国,英语,2022-12-16,193,680883,"25.6%,43.7%,25.6%,4.0%,1.0%"
314,邓肯·琼斯,8.6,源代码,"杰克·吉伦哈尔,维拉·法米加,米歇尔·莫纳汉,杰弗里·怀特,拉塞尔·皮特斯",2011,"科幻,悬疑,惊悚","美国,加拿大",英语,2011-08-30,93,935129,"40.9%,47.0%,11.4%,0.6%,0.1%"
315,朴赞郁,8.5,小姐,"金珉禧,金泰梨,河正宇,赵震雄,文素利",2016,"剧情,悬疑,情色,同性",韩国,"韩语,日语",2016-05-14,145,586714,"43.1%,43.0%,12.5%,1.1%,0.3%"
316,饶晓志,8.0,无名之辈,"陈建斌,任素汐,潘斌龙,章宇,王砚辉",2018,"剧情,喜剧",中国大陆,"汉语普通话,贵州方言",2018-11-16,108,1095069,"28.4%,47.6%,20.7%,2.7%,0.5%"
317,"鲍勃·佩尔西凯蒂,彼得·拉姆齐,罗德尼·罗斯曼",8.6,蜘蛛侠：平行宇宙,"沙梅克·摩尔,杰克·约翰逊,海莉·斯坦菲尔德,马赫沙拉·阿里,布莱恩·泰里·亨利",2018,"动作,科幻,动画,冒险",美国,"英语,西班牙语",2018-12-21,116,764687,"44.1%,42.2%,12.5%,0.9%,0.2%"
318,孔大山,8.0,宇宙探索编辑部,"杨皓宇,艾丽娅,王一通,蒋奇明,盛晨晨",2021,"喜剧,科幻",中国大陆,汉语普通话,2023-04-01,118,725732,"31.7%,43.1%,19.6%,4.0%,1.6%"
319,韩延,7.2,送你一朵小红花,"易烊千玺,刘浩存,朱媛媛,高亚麟,夏雨",2020,剧情,中国大陆,汉语普通话,2020-12-31,128,813160,"14.6%,40.1%,36.7%,7.0%,1.7%"
320,张吃鱼,6.6,独行月球,"沈腾,马丽,常远,李诚儒,黄才伦",2022,"喜剧,科幻",中国大陆,"汉语普通话,英语",2022-07-29,122,766548,"10.0%,30.0%,44.0%,12.6%,3.3%"
321,丹尼尔·钟,7.4,河狸变身计划,"佩珀·柯达,鲍比·莫尼汉,乔恩·哈姆,凯茜·纳基麦,戴夫·弗兰科",2026,"喜剧,科幻,动画",美国,英语,2026-03-20,105,100611,"20.3%,38.7%,32.8%,6.6%,1.6%"
322,北野武,8.9,菊次郎的夏天,"北野武,关口雄介,岸本加世子,吉行和子,细川典江",1999,"剧情,喜剧",日本,日语,2020-09-25,121,679174,"54.6%,35.7%,8.7%,0.8%,0.2%"
323,蒂姆·波顿,8.3,查理和巧克力工厂,"约翰尼·德普,弗莱迪·海默,海伦娜·伯翰·卡特,克里斯托弗·李,诺亚·泰勒",2005,"喜剧,奇幻,冒险","美国,英国,澳大利亚",英语,2005-07-15,115,587894,"35.9%,45.8%,16.7%,1.3%,0.2%"
324,渡边步,7.4,尖帽子的魔法工坊,"本村玲奈,花江夏树,山村响,月城日花,中村悠一",2026,动画,日本,日语,2026-04-06,58,2965,"22.3%,37.8%,30.0%,7.3%,2.5%"
325,朗·霍华德,9.1,美丽心灵,"罗素·克劳,艾德·哈里斯,詹妮弗·康纳利,克里斯托弗·普卢默,保罗·贝坦尼",2001,"剧情,传记",美国,英语,2001-12-13,135,857273,"60.0%,33.4%,6.1%,0.4%,0.1%"
326,昆汀·塔伦蒂诺,8.4,杀死比尔,"乌玛·瑟曼,刘玉玲,薇薇卡·福克斯,达丽尔·汉纳,大卫·卡拉丁",2003,"动作,惊悚,犯罪",美国,"英语,日语,法语",2003-09-29,111,636432,"38.8%,43.7%,15.1%,1.9%,0.5%"
327,许诚毅,6.7,捉妖记,"白百何,井柏然,姜武,金燕玲,钟汉良",2015,"喜剧,奇幻,古装","中国大陆,中国香港",汉语普通话,2015-07-16,118,581658,"10.5%,31.7%,44.9%,9.7%,3.1%"
328,"孔笙,李雪",9.4,琅琊榜,"胡歌,刘涛,王凯,陈龙,黄维德",2015,"剧情,古装",中国大陆,汉语普通话,2015-09-19,79,936585,"76.5%,18.8%,3.3%,0.5%,0.8%"
329,汉内斯·赫尔姆,8.9,一个叫欧维的男人决定去死,"罗夫·拉斯加德,巴哈·帕斯,托比亚斯·阿姆博瑞,菲利普·伯格,安娜-莱娜·布伦丁",2015,剧情,瑞典,"瑞典语,波斯语",2015-12-25,116,575693,"54.6%,37.3%,7.6%,0.5%,0.1%"
330,张开宙,8.0,知否知否应是绿肥红瘦,"赵丽颖,冯绍峰,朱一龙,施诗,张佳宁",2018,"剧情,爱情,古装",中国大陆,汉语普通话,2018-12-25,75,716062,"31.7%,43.0%,20.0%,3.2%,2.0%"
331,秦榛,6.7,白日提灯,"迪丽热巴,陈飞宇,魏哲鸣,张俪,高鹤元",2026,剧情,中国大陆,汉语普通话,2026-03-28,53,105929,"23.2%,20.9%,31.1%,16.8%,8.0%"
332,露西亚·安尼洛,9.4,绝望写手 第三季,"珍·斯玛特,汉娜·爱宾德,保罗·当斯,梅根·斯塔尔特,卡尔·克莱蒙斯-霍普金斯",2024,"剧情,喜剧",美国,英语,2024-05-02,57,29769,"74.0%,22.4%,3.2%,0.3%,0.1%"
333,克里斯托弗·诺兰,8.9,蝙蝠侠：黑暗骑士崛起,"克里斯蒂安·贝尔,汤姆·哈迪,安妮·海瑟薇,约瑟夫·高登-莱维特,玛丽昂·歌迪亚",2012,"剧情,动作,科幻,惊悚,犯罪","美国,英国","英语,阿拉伯语",2012-08-27,165,820543,"54.4%,35.7%,8.9%,0.7%,0.2%"
334,梅尔·吉布森,8.7,血战钢锯岭,"安德鲁·加菲尔德,萨姆·沃辛顿,文斯·沃恩,雨果·维文,卢克·布雷西",2016,"剧情,传记,历史,战争","澳大利亚,美国","英语,日语",2016-12-08,139,865727,"46.4%,41.6%,10.8%,0.9%,0.2%"
335,斯科特·德瑞克森,7.6,奇异博士,"本尼迪克特·康伯巴奇,蒂尔达·斯文顿,麦斯·米科尔森,切瓦特·埃加福,瑞秋·麦克亚当斯",2016,"动作,奇幻,冒险",美国,英语,2016-11-04,115,627511,"18.9%,47.5%,29.9%,3.2%,0.5%"
336,宫崎骏,8.7,魔女宅急便,"高山南,佐久间玲,户田惠子,山口胜平,信泽三惠子",1989,"动画,奇幻,冒险",日本,日语,1989-07-29,103,530272,"48.2%,41.7%,9.7%,0.4%,0.1%"
337,大卫·叶茨,7.7,神奇动物在哪里,"埃迪·雷德梅恩,凯瑟琳·沃特斯顿,丹·福勒,艾莉森·萨多尔,科林·法瑞尔",2016,"剧情,奇幻,冒险","英国,美国",英语,2016-11-25,133,678073,"22.9%,45.1%,28.2%,3.2%,0.5%"
338,瑞奇·摩尔,8.7,无敌破坏王,"约翰·C·赖利,萨拉·西尔弗曼,杰克·麦克布瑞尔,简·林奇,艾伦·图代克",2012,"喜剧,动画,奇幻,冒险",美国,英语,2012-11-06,101,617611,"48.6%,40.3%,10.3%,0.6%,0.1%"
339,安吉镐,9.0,黑暗荣耀 第二季,"宋慧乔,李到晛,林智妍,郑成日,廉惠兰",2023,"剧情,悬疑",韩国,韩语,2023-03-10,47,589925,"61.4%,30.9%,6.7%,0.6%,0.3%"
